CPU name,cpu bench (higher = better)
Intel Xeon E5-2698 v3 @ 2.30GHz,"18,960"
AMD Ryzen 5 6600H,"18,952"
Intel Xeon E-2356G @ 3.20GHz,"18,937"
AMD Ryzen Z1,"18,936"
Intel Core i5-13420H,"18,916"
Intel Core i7-11850HE @ 2.60GHz,"18,899"
AMD Ryzen 7 7730U,"18,854"
Intel Core i7-10700K @ 3.80GHz,"18,849"
Hygon C86 7255 16-core,"18,831"
ARM Neoverse-N1 80 Core 2600 MHz,"18,823"
ARM Neoverse-N1 64 Core 2200 MHz,"18,803"
Intel Xeon W-1290E @ 3.50GHz,"18,786"
Intel Xeon E5-2682 v4 @ 2.50GHz,"18,781"
Intel Core Ultra 5 135U,"18,742"
AMD Ryzen 5 5600GE,"18,721"
Intel Xeon E5-2697 v3 @ 2.60GHz,"18,717"
Intel Xeon Gold 6126 @ 2.60GHz,"18,701"
AMD Ryzen 5 3600XT,"18,674"
Intel Core i7-10700KF @ 3.80GHz,"18,657"
Intel Xeon W-1270E @ 3.40GHz,"18,635"
AMD Ryzen 7 4800H,"18,583"
AMD Ryzen 7 5800U,"18,557"
Intel Xeon W-1270P @ 3.80GHz,"18,553"
AMD Ryzen 5 7535HS,"18,521"
AMD Ryzen 7 4800HS,"18,491"
AMD Ryzen 7 PRO 4750GE,"18,471"
Intel Xeon W-1290T @ 1.90GHz,"18,409"
AMD Ryzen 5 PRO 5650GE,"18,408"
AMD Ryzen 7 5825U,"18,397"
AMD Ryzen Embedded V3C48,"18,361"
Intel Xeon Silver 4214R @ 2.40GHz,"18,342"
Intel Core i9-9900K @ 3.60GHz,"18,331"
Intel Core i9-9900KF @ 3.60GHz,"18,313"
Intel Xeon w3-2425,"18,284"
AMD Ryzen 5 6600HS Creator Edition,"18,281"
Intel Xeon W-11855M @ 3.20GHz,"18,268"
Intel Xeon E7-8880 v3 @ 2.30GHz,"18,244"
AMD Ryzen 5 3600X,"18,217"
AMD Ryzen 5 PRO 7540U,"18,198"
AMD Ryzen 5 Pro 7535U,"18,165"
Intel Xeon W-2145 @ 3.70GHz,"18,160"
Intel Xeon E5-2686 v3 @ 2.00GHz,"18,148"
Intel Xeon Gold 5120T @ 2.20GHz,"18,127"
Intel Core i5-11600 @ 2.80GHz,"18,109"
AMD 4700S,"18,104"
Intel Core i7-9800X @ 3.80GHz,"18,081"
Intel Core 7 150U,"18,071"
Intel Xeon D-2187NT @ 2.00GHz,"18,070"
Intel Xeon E5-2687W v4 @ 3.00GHz,"18,054"
Intel Core i7-1270PE,"17,960"
Intel Core Ultra 5 125U,"17,921"
Intel Xeon E5-2680 v4 @ 2.40GHz,"17,882"
Intel Xeon D-1736NT @ 2.70GHz,"17,826"
AMD Ryzen 5 3600,"17,769"
Intel Xeon Gold 6234 @ 3.30GHz,"17,752"
Intel Core i5-11500B @ 3.30GHz,"17,752"
Intel Core i5-1250PE,"17,738"
AMD Ryzen 5 PRO 3600,"17,692"
Intel Xeon E5-2683 v4 @ 2.10GHz,"17,691"
Intel Xeon Gold 5120 @ 2.20GHz,"17,686"
Intel Xeon W-1270 @ 3.40GHz,"17,641"
Intel Core i5-12600T,"17,576"
AMD Ryzen 7 2700X,"17,534"
Intel Core i7-1270P,"17,492"
Intel Xeon E5-2680R v4 @ 2.40GHz,"17,487"
Intel Xeon W-11555MRE @ 2.60GHz,"17,484"
AMD Ryzen 7 4980U Microsoft Surface Edition,"17,469"
Intel Core i7-6950X @ 3.00GHz,"17,456"
Intel Xeon E5-4669 v3 @ 2.10GHz,"17,430"
Intel Core i5-11500 @ 2.70GHz,"17,393"
Intel Xeon E-2288G @ 3.70GHz,"17,359"
Intel Xeon E-2378 @ 2.60GHz,"17,326"
Intel Xeon W-2140B @ 3.20GHz,"17,301"
Intel Core i5-1240P,"17,294"
Intel Core i5-12450H,"17,282"
Intel Core i7-1260P,"17,231"
Intel Core i7-7820X @ 3.60GHz,"17,227"
Intel Core Ultra 7 165U,"17,193"
AMD Ryzen 5 4400G,"17,160"
Intel Xeon W-3223 @ 3.50GHz,"17,159"
Apple M1 Pro 8 Core 3200 MHz,"17,141"
AMD Ryzen 7 PRO 5850U,"17,106"
Intel Core i5-11400F @ 2.60GHz,"17,106"
Intel Core i5-11400 @ 2.60GHz,"17,084"
AMD Ryzen 5 5600H,"17,080"
Intel Xeon E-2278G @ 3.40GHz,"17,023"
Intel Xeon E5-2689 v4 @ 3.10GHz,"17,017"
AMD EPYC 7232P,"17,017"
Intel Core 5 120U,"17,003"
Intel Core i9-10900TE @ 1.80GHz,"16,914"
AMD Ryzen 7 PRO 2700X,"16,908"
AMD Ryzen 7 Extreme Edition,"16,903"
AMD Ryzen 5 6600U,"16,846"
Intel Core i7-12700TE,"16,833"
AMD Ryzen Threadripper 1900X,"16,789"
Intel Xeon E-2336 @ 2.90GHz,"16,768"
AMD Ryzen 5 PRO 6650U,"16,734"
AMD Ryzen 7 4800U,"16,717"
AMD Ryzen Embedded V2748,"16,706"
Intel Xeon E5-2695 v3 @ 2.30GHz,"16,669"
Intel Xeon Gold 5118 @ 2.30GHz,"16,652"
Intel Xeon Gold 6134 @ 3.20GHz,"16,621"
Intel Core i5-12500T,"16,573"
Intel Core i9-9900 @ 3.10GHz,"16,561"
Intel Xeon E5-2690 v3 @ 2.60GHz,"16,544"
Intel Core i7-10700 @ 2.90GHz,"16,457"
Intel Core i7-10700F @ 2.90GHz,"16,451"
Intel Xeon Silver 4214Y @ 2.20GHz,"16,442"
Intel Core i7-10700E @ 2.90GHz,"16,418"
Intel Xeon E-2278GE @ 3.30GHz,"16,401"
AMD Ryzen 5 7530U,"16,395"
AMD Ryzen 7 1800X,"16,386"
AMD Ryzen 5 7535U,"16,386"
Intel Core i5-1335U,"16,363"
AMD Ryzen 5 PRO 4655G,"16,355"
AMD Ryzen 5 PRO 4400G,"16,354"
Intel Core i7-11600H @ 2.90GHz,"16,349"
Intel Core i7-10700TE @ 2.00GHz,"16,332"
Intel Xeon E5-2698B v3 @ 2.00GHz,"16,287"
Intel Xeon w3-2423,"16,259"
Intel Core i5-11500H @ 2.90GHz,"16,227"
AMD Ryzen 5 PRO 4650G,"16,211"
Intel Xeon D-2733NT @ 2.10GHz,"16,206"
Intel Xeon Silver 4214 @ 2.20GHz,"16,190"
Intel Xeon E E-2434,"16,187"
Intel Xeon E5-2660 v4 @ 2.00GHz,"16,183"
Intel Core i5-12400T,"16,167"
Intel Core i3-1220PE,"16,146"
Intel Core Ultra 7 155U,"16,140"
AMD Ryzen 5 4500,"16,138"
Intel Xeon E5-2669 v3 @ 2.30GHz,"16,107"
AMD Ryzen 7 PRO 5875U,"16,088"
AMD Ryzen Embedded V2718,"16,075"
AMD Ryzen 5 4600G,"16,034"
Intel Xeon W-11865MLE @ 1.50GHz,"15,958"
AMD Ryzen 7 4850U Mobile,"15,920"
AMD Ryzen 7 5700U,"15,868"
Intel Core i7-11700T @ 1.40GHz,"15,831"
AMD Ryzen 5 4600GE,"15,823"
Intel Core i9-13900TE,"15,819"
Intel Xeon Gold 5117 @ 2.00GHz,"15,816"
Intel Core i5-11260H @ 2.60GHz,"15,762"
Intel Core i5-11400H @ 2.70GHz,"15,758"
AMD Ryzen 7 2700,"15,725"
Intel Xeon W-10885M @ 2.40GHz,"15,711"
AMD Ryzen 7 1700X,"15,662"
Intel Xeon Gold 5215 @ 2.50GHz,"15,624"
AMD Ryzen 7 PRO 1700X,"15,612"
Intel Core i9-10980HK @ 2.40GHz,"15,596"
AMD Ryzen 5 PRO 4650GE,"15,569"
AMD Ryzen Embedded V3C18I,"15,541"
Intel Xeon D-1726 @ 2.90GHz,"15,511"
AMD Ryzen 5 5600U,"15,486"
AMD Ryzen 5 PRO 7530U,"15,478"
Intel Xeon Gold 5217 @ 3.00GHz,"15,429"
Apple M2 8 Core 3500 MHz,"15,406"
Intel Core i5-1345U,"15,400"
Intel Xeon E5-4667 v3 @ 2.00GHz,"15,397"
Intel Core i3-14100,"15,391"
Intel Xeon E5-4660 v4 @ 2.20GHz,"15,375"
Intel Core i3-14100F,"15,320"
Intel Xeon E5-2680 v3 @ 2.50GHz,"15,285"
AMD Ryzen 7 PRO 2700,"15,280"
Intel Core i7-1355U,"15,255"
AMD Ryzen 7 PRO 4750U,"15,205"
Intel Xeon Silver 4116T @ 2.10GHz,"15,187"
Intel Core i9-10885H @ 2.40GHz,"15,162"
Intel Xeon Silver 4215R @ 3.20GHz,"15,140"
Intel Core i7-1365U,"15,130"
Intel Xeon E-2286M @ 2.40GHz,"15,130"
Intel Xeon Silver 4116 @ 2.10GHz,"15,122"
Intel Xeon D-2166NT @ 2.00GHz,"15,105"
AMD Ryzen 5 5560U,"15,092"
Intel Xeon Silver 4210R @ 2.40GHz,"15,075"
Intel Core i9-10900T @ 1.90GHz,"15,023"
AMD EPYC 7301,"14,991"
AMD Ryzen 5 5625U,"14,991"
Intel Core i7-10875H @ 2.30GHz,"14,947"
AMD EPYC 7251,"14,935"
AMD Ryzen 5 PRO 5650U,"14,919"
Intel Xeon E5-2658A v3 @ 2.20GHz,"14,879"
Intel Xeon D-1733NT @ 2.00GHz,"14,849"
Intel Xeon E5-2683 v3 @ 2.00GHz,"14,837"
Intel Xeon E5-1681 v3 @ 2.90GHz,"14,820"
AMD Ryzen 7 1700,"14,818"
AMD Ryzen 5 PRO 4400GE,"14,795"
Intel Core i3-13100,"14,726"
AMD Ryzen 5 PRO 5675U,"14,719"
Intel Core i5-11600T @ 1.70GHz,"14,713"
Intel Core i3-12300,"14,695"
Intel Xeon E5-2687W v3 @ 3.10GHz,"14,690"
AMD Ryzen 7 PRO 1700,"14,677"
Intel Xeon E5-2678 v3 @ 2.50GHz,"14,675"
Montage Jintide C4215R,"14,672"
AMD Ryzen 7 2700E,"14,657"
Intel Core i3-13100F,"14,654"
Intel Xeon Gold 5115 @ 2.40GHz,"14,649"
Intel Core i9-10880H @ 2.30GHz,"14,642"
Intel Core i5-12500TE,"14,568"
Intel Core i7-10870H @ 2.20GHz,"14,526"
Intel Xeon W-1250P @ 4.10GHz,"14,510"
Intel Core i7-9700K @ 3.60GHz,"14,482"
AMD Ryzen 5 4600H,"14,468"
Intel Xeon Silver 4215 @ 2.50GHz,"14,439"
Intel Core i7-6900K @ 3.20GHz,"14,436"
AMD Ryzen 5 PRO 4655GE,"14,436"
Intel Xeon E5-2658 v4 @ 2.30GHz,"14,434"
Intel Xeon W-2135 @ 3.70GHz,"14,431"
Intel Core i3-1220P,"14,407"
Intel Xeon Silver 4123 @ 3.00GHz,"14,405"
Intel Xeon W-2235 @ 3.80GHz,"14,383"
Intel Core i7-9700KF @ 3.60GHz,"14,336"
Intel Core i5-10600K @ 4.10GHz,"14,329"
AMD Ryzen 5 4600HS,"14,322"
Intel Core i7-8086K @ 4.00GHz,"14,315"
Intel Xeon E5-2666 v3 @ 2.90GHz,"14,310"
Intel Xeon E5-2673 v3 @ 2.40GHz,"14,288"
Intel Xeon E5-2697 v2 @ 2.70GHz,"14,283"
Intel Core i5-10600KF @ 4.10GHz,"14,261"
Intel Xeon E5-4660 v3 @ 2.10GHz,"14,256"
Intel Xeon D-1732TE @ 1.90GHz,"14,254"
Intel Core i3-12100E,"14,250"
Apple M1 8 Core 3200 MHz,"14,184"
Intel Xeon E5-1680 v4 @ 3.40GHz,"14,164"
Intel Core i3-12100F,"14,159"
Intel Core i5-1334U,"14,142"
Intel Core i9-9980HK @ 2.40GHz,"14,134"
Intel Core i7-1370PRE,"14,103"
Intel Xeon E-2236 @ 3.40GHz,"14,066"
Intel Xeon E5-2696 v2 @ 2.50GHz,"14,061"
Intel Core i7-1260U,"14,017"
Intel Xeon E-2286G @ 4.00GHz,"13,994"
Intel Core i7-1265U,"13,965"
Intel Xeon E-2186G @ 3.80GHz,"13,955"
AMD Ryzen 5 2600X,"13,920"
AMD EPYC 3251,"13,912"
Intel Xeon E-2246G @ 3.60GHz,"13,898"
Intel Xeon E5-2667 v4 @ 3.20GHz,"13,886"
Intel Xeon E-2276G @ 3.80GHz,"13,873"
AMD Ryzen 3 PRO 5350G,"13,864"
Intel Core i9-9880H @ 2.30GHz,"13,825"
Intel Xeon E5-2650 v4 @ 2.20GHz,"13,786"
Intel Core i7-1255U,"13,774"
Intel Core i5-1240U,"13,745"
Intel Xeon W-1250 @ 3.30GHz,"13,690"
Intel Core i5-10600 @ 3.30GHz,"13,683"
Intel Core i7-8700K @ 3.70GHz,"13,657"
Intel Core i5-11400T @ 1.30GHz,"13,626"
Intel Xeon E5-2670 v3 @ 2.30GHz,"13,623"
Intel Xeon E5-2676 v3 @ 2.40GHz,"13,616"
Intel Xeon E-2374G @ 3.70GHz,"13,607"
Intel Xeon E5-1660 v4 @ 3.20GHz,"13,577"
Intel Xeon D-1587 @ 1.70GHz,"13,566"
Intel Xeon W-1270TE @ 2.00GHz,"13,553"
Intel Xeon E-2176G @ 3.70GHz,"13,543"
Intel Core i3-12100,"13,534"
AMD Ryzen 5 PRO 2600,"13,517"
Intel Core i5-1235U,"13,499"
Intel Xeon E5-2658 v3 @ 2.20GHz,"13,487"
Intel Xeon E5-2690 v2 @ 3.00GHz,"13,482"
Intel Xeon Silver 4210 @ 2.20GHz,"13,480"
Intel Xeon E-2136 @ 3.30GHz,"13,451"
AMD Ryzen 5 4600U,"13,445"
Intel Core i5-1245U,"13,443"
Intel Xeon Gold 6128 @ 3.40GHz,"13,427"
AMD Ryzen 3 PRO 5350GE,"13,421"
AMD Ryzen 7 4700U,"13,409"
AMD Ryzen 3 5300GE,"13,299"
Intel Xeon D-1581 @ 1.80GHz,"13,282"
Intel Xeon E5-2695 v2 @ 2.40GHz,"13,264"
Intel Core i7-9700F @ 3.00GHz,"13,263"
Intel Xeon E-2146G @ 3.50GHz,"13,260"
Intel Core i3-12300T,"13,251"
Intel Core i9-9900T @ 2.10GHz,"13,224"
Intel Core i7-9700 @ 3.00GHz,"13,216"
AMD Ryzen 5 2600,"13,201"
Intel Xeon E5-2660 v3 @ 2.60GHz,"13,191"
AMD Ryzen 5 3500X,"13,181"
Intel Xeon E5-2675 v3 @ 1.80GHz,"13,180"
Intel Xeon E5-1680 v3 @ 3.20GHz,"13,132"
Intel Xeon Silver 4114 @ 2.20GHz,"13,127"
AMD Ryzen 5 5500U,"13,079"
Intel Core i5-11500T @ 1.50GHz,"13,079"
AMD Ryzen 5 1600X,"13,066"
AMD Ryzen Embedded V2516,"13,016"
Intel Core i3-13100T,"13,011"
Intel Xeon E5-4627 v4 @ 2.60GHz,"12,969"
Intel Xeon E5-2685 v3 @ 2.60GHz,"12,944"
Intel Xeon E-2334 @ 3.40GHz,"12,929"
Intel Core i7-7800X @ 3.50GHz,"12,882"
AMD Ryzen 3 5300G,"12,875"
Intel Core i7-8700 @ 3.20GHz,"12,874"
Intel Core i5-10500 @ 3.10GHz,"12,865"
AMD Ryzen 3 PRO 7330U,"12,846"
Intel Core i7-10700T @ 2.00GHz,"12,836"
AMD Ryzen 5 3500,"12,792"
Intel Xeon E5-1680 v2 @ 3.00GHz,"12,751"
Intel Core i7-9700E @ 2.60GHz,"12,744"
AMD Ryzen 5 PRO 4650U,"12,743"
Intel Xeon W-10855M @ 2.80GHz,"12,728"
Intel Core i7-5960X @ 3.00GHz,"12,714"
Intel Core i3-12100T,"12,676"
AMD Ryzen 3 3300X,"12,662"
Intel Xeon W-2133 @ 3.60GHz,"12,660"
Intel Xeon E5-2650L v4 @ 1.70GHz,"12,646"
Intel Xeon E5-2680 v2 @ 2.80GHz,"12,607"
Intel Core i3-1315U,"12,598"
Intel Xeon W-11555MLE @ 1.90GHz,"12,591"
Intel Xeon E5-2667 v3 @ 3.20GHz,"12,572"
Intel Xeon E5-1660 v3 @ 3.00GHz,"12,485"
Intel Xeon E5-4628L v4 @ 1.80GHz,"12,461"
Intel Xeon D-2143IT @ 2.20GHz,"12,461"
Intel Xeon E5-2618L v4 @ 2.20GHz,"12,418"
Intel Xeon E5-2649 v3 @ 2.30GHz,"12,399"
Intel Xeon E5-2640 v4 @ 2.40GHz,"12,331"
Intel Core i3-12100TE,"12,314"
AMD Ryzen 3 PRO 7335U,"12,306"
AMD Ryzen 5 1600,"12,282"
Intel Xeon E5-2667 v2 @ 3.30GHz,"12,270"
Intel Xeon E5-2687W v2 @ 3.40GHz,"12,265"
Apple A17 Pro,"12,247"
Intel Core i5-10505 @ 3.20GHz,"12,221"
Intel Xeon W-1250E @ 3.50GHz,"12,212"
Intel Core i5-10400F @ 2.90GHz,"12,205"
Intel Core i7-1250U,"12,180"
Intel Core i5-10400 @ 2.90GHz,"12,134"
Intel Xeon E5-2673 v2 @ 3.30GHz,"12,128"
Intel Xeon E5-2692 v2 @ 2.20GHz,"12,119"
Intel Xeon D-2141I @ 2.20GHz,"12,117"
AMD Ryzen 5 PRO 4500U,"12,117"
Intel Xeon E-2278GEL @ 2.00GHz,"12,024"
Intel Core i7-8700B @ 3.20GHz,"11,975"
Intel Core i7-10750H @ 2.60GHz,"11,943"
Intel Xeon E5-2650 v3 @ 2.30GHz,"11,941"
Intel Xeon E E-2414,"11,923"
Intel Xeon E5-2650L v3 @ 1.80GHz,"11,880"
Intel Core i7-11375H @ 3.30GHz,"11,874"
ARM Neoverse-N1 32 Core 1700 MHz,"11,841"
Intel Core i7-10850H @ 2.70GHz,"11,835"
Snapdragon 8cx Gen 3 @ 3.0 GHz,"11,830"
Intel Xeon E-2276M @ 2.80GHz,"11,803"
Intel Xeon E5-2663 v3 @ 2.80GHz,"11,777"
ARM Neoverse-N1 80 Core 2800 MHz,"11,755"
Intel CC150 @ 3.50GHz,"11,745"
Intel Xeon D-2146NT @ 2.30GHz,"11,736"
Intel Core i7-11370H @ 3.30GHz,"11,735"
QTI SM8650,"11,725"
Microsoft SQ3 @ 3.0 GHz,"11,715"
AMD Ryzen 5 5500H,"11,714"
Intel Xeon E5-2630 v4 @ 2.20GHz,"11,682"
Intel Xeon Platinum 8481C @ 2.70GHz,"11,681"
Intel Core i3-13100E,"11,650"
Intel Xeon D-1577 @ 1.30GHz,"11,645"
AMD Ryzen 3 3100,"11,620"
Intel Xeon E5-4657L v2 @ 2.40GHz,"11,613"
Intel Xeon E-2186M @ 2.90GHz,"11,570"
Intel Xeon E5-2648L v4 @ 1.80GHz,"11,547"
Intel Xeon E5-4669 v4 @ 2.20GHz,"11,523"
Intel Core i7-6850K @ 3.60GHz,"11,461"
Intel Xeon E5-1650 v4 @ 3.60GHz,"11,450"
AMD Ryzen 3 5425U,"11,435"
Intel Xeon Silver 4208 @ 2.10GHz,"11,371"
Intel Core i3-11100B @ 3.60GHz,"11,357"
AMD Ryzen 3 PRO 5475U,"11,354"
Intel Xeon E5-4627 v3 @ 2.60GHz,"11,344"
AMD Ryzen 3 PRO 4200G,"11,315"
Intel Xeon E5-2670 v2 @ 2.50GHz,"11,300"
Intel Core i3-11100HE @ 2.40GHz,"11,289"
Intel Core i5-10600T @ 2.40GHz,"11,266"
Intel Core i5-10500H @ 2.50GHz,"11,259"
AMD Ryzen 5 PRO 1600,"11,240"
AMD Ryzen 3 4300GE,"11,216"
Intel Xeon E5-2640 v3 @ 2.60GHz,"11,179"
Intel Core i7-9850H @ 2.60GHz,"11,138"
Intel Xeon E5-2643 v4 @ 3.40GHz,"11,125"
Hygon C86 3250 8-core,"11,114"
Apple A16 Bionic,"11,111"
Intel Xeon Silver 4209T @ 2.20GHz,"11,080"
Intel Xeon E5-2628L v4 @ 1.90GHz,"11,079"
AMD Ryzen 3 4100,"11,077"
AMD Ryzen 3 PRO 5450U,"11,076"
Intel Xeon E-2226G @ 3.40GHz,"11,073"
Intel Core i3-1215U,"11,070"
Intel Xeon E5-4650 v2 @ 2.40GHz,"11,064"
Intel Core 3 100U,"11,049"
AMD Ryzen 3 5400U,"11,029"
Intel Core i5-11320H @ 3.20GHz,"11,011"
Apple A12X Bionic,"10,999"
Intel Core i5-11300H @ 3.10GHz,"10,965"
AMD Ryzen 3 PRO 4350GE,"10,964"
AMD Ryzen 5 4500U,"10,955"
AMD Ryzen 3 4300G,"10,954"
AMD Ryzen 3 PRO 4200GE,"10,930"
AMD Ryzen 3 PRO 4350G,"10,929"
AMD Ryzen 3 7330U,"10,906"
Intel Core i7-9750H @ 2.60GHz,"10,892"
Intel Core i7-1195G7 @ 2.90GHz,"10,884"
Intel Xeon E5-2618L v3 @ 2.30GHz,"10,881"
Intel Xeon E-2176M @ 2.70GHz,"10,878"
Intel Core i5-1230U,"10,863"
Intel Xeon E5-4650 v3 @ 2.10GHz,"10,838"
Intel Core i5-10500E @ 3.10GHz,"10,827"
Intel Core i7-1365URE,"10,769"
Intel Core i7-6800K @ 3.40GHz,"10,756"
Intel Core i5-9600KF @ 3.70GHz,"10,712"
Intel Core i7-9700T @ 2.00GHz,"10,702"
Intel Core i5-9600K @ 3.70GHz,"10,692"
Mediatek MT6989,"10,669"
Intel Core i3-1210U,"10,641"
Intel Xeon E5-2470 v2 @ 2.40GHz,"10,612"
Intel Core i7-1185G7E @ 2.80GHz,"10,601"
Intel Core i9-8950HK @ 2.90GHz,"10,570"
Intel Xeon W-2225 @ 4.10GHz,"10,567"
AMD Ryzen 3 PRO 4355GE,"10,559"
Intel Core i7-9750HF @ 2.60GHz,"10,554"
Intel Xeon E5-2660 v2 @ 2.20GHz,"10,549"
Intel Xeon E-2126G @ 3.30GHz,"10,545"
Intel Xeon E5-4620 v3 @ 2.00GHz,"10,525"
Intel Xeon E5-2658 v2 @ 2.40GHz,"10,523"
Intel Core i7-1185G7 @ 3.00GHz,"10,515"
Intel Xeon E5-2630L v4 @ 1.80GHz,"10,491"
Intel Xeon E5-2643 v3 @ 3.40GHz,"10,465"
Intel Xeon D-1567 @ 2.10GHz,"10,447"
Intel Xeon E5-2630 v3 @ 2.40GHz,"10,430"
Intel Xeon E5-1650 v3 @ 3.50GHz,"10,423"
Intel Core i5-9600 @ 3.10GHz,"10,401"
Intel Xeon E5-4640 v3 @ 1.90GHz,"10,372"
QTI QCS8550,"10,369"
Intel Xeon Silver 4109T @ 2.00GHz,"10,348"
Intel Core i7-1165G7 @ 2.80GHz,"10,296"
Intel Core i7-5930K @ 3.50GHz,"10,291"
Intel Core i7-9700TE @ 1.80GHz,"10,280"
Intel Xeon E5-1660 v2 @ 3.70GHz,"10,278"
Intel Core i7-8850H @ 2.60GHz,"10,278"
Intel Core i3-10325 @ 3.90GHz,"10,268"
Samsung s5e9945,"10,263"
Intel Core i5-1155G7 @ 2.50GHz,"10,228"
Intel Core i7-8700T @ 2.40GHz,"10,212"
Intel Core i5-8600K @ 3.60GHz,"10,206"
Intel Xeon Silver 4110 @ 2.10GHz,"10,165"
Intel Xeon D-1541 @ 2.10GHz,"10,163"
Intel Core i7-11390H @ 3.40GHz,"10,099"
Intel Core i7-4960X @ 3.60GHz,"10,092"
Intel Core i3-N305,"10,084"
Intel U300E,"10,081"
AMD Ryzen 3 PRO 4450U,"10,077"
Intel Xeon D-1540 @ 2.00GHz,"10,061"
Intel Core i5-10500T @ 2.30GHz,"10,048"
Intel Core i5-9500F @ 3.00GHz,"10,028"
Intel Core i3-10320 @ 3.80GHz,"10,024"
Intel Xeon E5-2687W @ 3.10GHz,"10,005"
Intel Xeon W-2125 @ 4.00GHz,"9,997"
Intel Xeon E-2234 @ 3.60GHz,"9,961"
Intel Xeon E5-2628L v3 @ 2.00GHz,"9,949"
Intel Core i5-8600 @ 3.10GHz,"9,947"
Intel Core i7-8750H @ 2.20GHz,"9,919"
Apple A15 Bionic,"9,901"
Intel Xeon E5-2650 v2 @ 2.60GHz,"9,885"
Intel Core i7-7740X @ 4.30GHz,"9,878"
Intel Core i5-1145G7 @ 2.60GHz,"9,878"
Intel Xeon E-2274G @ 4.00GHz,"9,860"
Intel Core i7-5820K @ 3.30GHz,"9,859"
Intel Core i5-9500TE @ 2.20GHz,"9,857"
Intel Xeon E5-2648L v3 @ 1.80GHz,"9,847"
Intel Core i5-1135G7 @ 2.40GHz,"9,835"
Intel Core i5-10400T @ 2.00GHz,"9,825"
Intel Core i5-9500 @ 3.00GHz,"9,815"
Intel Xeon E-2324G @ 3.10GHz,"9,771"
Intel Xeon E-2174G @ 3.80GHz,"9,741"
Intel Xeon E5-2690 @ 2.90GHz,"9,738"
Intel Xeon D-1718T @ 2.60GHz,"9,713"
Intel Xeon E5-2689 @ 2.60GHz,"9,710"
AMD Ryzen 3 5300U,"9,704"
Intel Core i3-1125G4 @ 2.00GHz,"9,696"
Intel Core i7-10710U @ 1.10GHz,"9,673"
Intel Core i7-7700K @ 4.20GHz,"9,656"
Intel Core i3-1215UE,"9,643"
AMD Ryzen 5 PRO 3350GE,"9,643"
Hygon C86 3185 8-core,"9,627"
Intel Core i5-9600T @ 2.30GHz,"9,623"
Intel Xeon E-2244G @ 3.80GHz,"9,590"
Intel Xeon E5-4620 v2 @ 2.60GHz,"9,590"
Intel Core i5-8500 @ 3.00GHz,"9,574"
Intel Core i5-1145G7E @ 2.60GHz,"9,570"
Intel Xeon E5-2651 v2 @ 1.80GHz,"9,544"
Intel Core i7-1068NG7 @ 2.30GHz,"9,504"
Intel Xeon Gold 5222 @ 3.80GHz,"9,489"
AMD Ryzen 5 2500X,"9,482"
Intel Core i5-9400F @ 2.90GHz,"9,475"
Intel Core i5-1145GRE @ 2.60GHz,"9,472"
Intel Core i5-1140G7 @ 1.10GHz,"9,441"
AMD Ryzen 5 7520U,"9,433"
Intel Pentium Gold 8505,"9,405"
Intel Xeon E5-2680 @ 2.70GHz,"9,400"
Intel Core i7-4930K @ 3.40GHz,"9,400"
Intel Xeon E5-4655 v3 @ 2.90GHz,"9,377"
Intel Core i5-9400 @ 2.90GHz,"9,374"
Apple A12Z Bionic,"9,365"
Snapdragon 8 Gen2 Mobile Platform for Galaxy,"9,362"
Intel Xeon E5-1650 v2 @ 3.50GHz,"9,344"
AMD Ryzen 5 3350GE,"9,343"
Intel Core i5-8600T @ 2.30GHz,"9,321"
Intel Xeon E5-4627 v2 @ 3.30GHz,"9,320"
Intel U300,"9,309"
Intel Core i3-10300 @ 3.70GHz,"9,304"
Intel Core i3-10305 @ 3.80GHz,"9,291"
AMD Ryzen 5 PRO 3350G,"9,288"
Intel Xeon D-1557 @ 1.50GHz,"9,285"
Intel Core i5-1245UE,"9,283"
AMD Ryzen 5 3400G,"9,277"
Mediatek MT6983W/CZA,"9,270"
Intel Xeon E-2144G @ 3.60GHz,"9,270"
Intel Core i7-1160G7 @ 1.20GHz,"9,261"
Intel Xeon E3-1275 v6 @ 3.80GHz,"9,254"
Intel Core i5-8400 @ 2.80GHz,"9,236"
Intel Xeon E5-2450 v2 @ 2.50GHz,"9,227"
Intel Core i3-1305U,"9,200"
Intel Core i7-1265UE,"9,195"
Intel Xeon E5-2620 v4 @ 2.10GHz,"9,180"
QTI SM8550,"9,155"
Intel Xeon E-2134 @ 3.50GHz,"9,143"
AMD Ryzen 5 PRO 3400G,"9,143"
Intel Xeon E5-2629 v3 @ 2.40GHz,"9,139"
Intel Xeon E5-2643 v2 @ 3.50GHz,"9,134"
Intel Core i7-9850HL @ 1.90GHz,"9,112"
Mediatek MT8798Z/CNZA,"9,110"
AMD Ryzen 5 PRO 1500,"9,106"
Intel Xeon D-1715TER @ 2.40GHz,"9,104"
Intel Core i5-1038NG7 @ 2.00GHz,"9,102"
AMD Ryzen 5 1500X,"9,093"
Intel Xeon D-1548 @ 2.00GHz,"9,075"
Intel Xeon E5-4648 v3 @ 1.70GHz,"9,061"
AMD Ryzen 3 7320U,"9,036"
Intel Xeon E3-1280 v6 @ 3.90GHz,"9,028"
AMD Ryzen 5 3350G,"9,025"
Intel Core i5-8500B @ 3.00GHz,"9,017"
